hash,file,modlines
3396f5ae1,/RxJava/.../src/main/java/rx/operators/OperationZip.java,11 
e38ca1d2b,/RxJava/rxjava-core/src/main/java/rx/Observable.java,2 
ca9d4822d,/RxJava/.../test/java/rx/performance/PerformanceTest.java,250 
ca9d4822d,/RxJava/.../java/rx/performance/TestChainPerformance.java,85 
ca9d4822d,/RxJava/.../groovy/rx/examples/groovy/VideoExample.groovy,6 
30455adbf,/RxJava/README.md,79 
30455adbf,/RxJava/.../main/java/rx/util/SynchronizedObserver.java,18 
30455adbf,/RxJava/rxjava-examples/build.gradle,24 
30455adbf,/RxJava/.../clojure/rx/examples/clojure/rx_examples.clj,281 
b22ab40b0,/RxJava/README.md,79 
b22ab40b0,/RxJava/language-adaptors/rxjava-clojure/build.gradle,62 
b22ab40b0,/RxJava/.../rx/lang/clojure/examples/rx_examples.clj,267 
b22ab40b0,/RxJava/.../clojure/rx/lang/clojure/observable_tests.clj,5 
b22ab40b0,/RxJava/language-adaptors/rxjava-groovy/build.gradle,28 
b22ab40b0,/RxJava/.../rx/lang/groovy/examples}/RxExamples.groovy,17 
b22ab40b0,/RxJava/.../rx/lang/groovy/examples}/VideoExample.groovy,17 
b22ab40b0,/RxJava/.../main/java/rx/lang/groovy/GroovyAdaptor.java,239 
b22ab40b0,/RxJava/.../groovy/rx/lang/groovy/ObservableTests.groovy,239 
b22ab40b0,/RxJava/language-adaptors/rxjava-jruby/build.gradle,12 
b22ab40b0,/RxJava/language-adaptors/rxjava-scala/build.gradle,20 
b22ab40b0,/RxJava/.../main/scala/rx/lang/scala/ScalaAdaptor.scala,2 
b22ab40b0,/RxJava/rxjava-core/src/main/java/rx/Notification.java,2 
b22ab40b0,/RxJava/rxjava-core/src/main/java/rx/Observable.java,73 
b22ab40b0,/RxJava/.../main/java/rx/operators/OperationConcat.java,354 
b22ab40b0,/RxJava/.../main/java/rx/operators/OperationFilter.java,7 
b22ab40b0,/RxJava/.../rx/operators/OperationToObservableFuture.java,4 
b22ab40b0,/RxJava/.../src/main/java/rx/operators/OperationZip.java,6 
b22ab40b0,/RxJava/rxjava-core/src/main/java/rx/subjects/Subject.java,2 
b22ab40b0,/RxJava/.../main/java/rx/util/SynchronizedObserver.java,20 
b22ab40b0,/RxJava/rxjava-core/src/test/java/README.txt,5 
b22ab40b0,/RxJava/rxjava-examples/build.gradle,45 
b22ab40b0,/RxJava/.../clojure/rx/examples/clojure/rx_examples.clj,262 
b22ab40b0,/RxJava/.../src/main/java/rx/examples/java/RxExamples.java,22 
b22ab40b0,/RxJava/settings.gradle,1 
321f3b005,/RxJava/rxjava-core/src/main/java/rx/operators/OperationZip.java,6 
c0ec61f02,/RxJava/language-adaptors/rxjava-clojure/build.gradle,52 
c0ec61f02,/RxJava/.../rx/lang/clojure/examples/rx_examples.clj,267 
c0ec61f02,/RxJava/.../clojure/rx/lang/clojure/observable_tests.clj,5 
c0ec61f02,/RxJava/language-adaptors/rxjava-groovy/build.gradle,29 
c0ec61f02,/RxJava/.../rx/lang/groovy/examples/RxExamples.groovy,229 
c0ec61f02,/RxJava/.../rx/lang/groovy/examples/VideoExample.groovy,246 
c0ec61f02,/RxJava/rxjava-core/src/main/java/rx/Observable.java,71 
c0ec61f02,/RxJava/rxjava-core/src/test/java/README.txt,5 
c0ec61f02,/RxJava/settings.gradle,1 
ee001549e,/RxJava/.../main/scala/rx/lang/scala/ScalaAdaptor.scala,17 
ee001549e,/RxJava/rxjava-core/src/main/java/rx/Observable.java,12 
ee001549e,/RxJava/.../main/java/rx/plugins/RxJavaErrorHandler.java,41 
ee001549e,/RxJava/.../java/rx/plugins/RxJavaErrorHandlerDefault.java,31 
ee001549e,/RxJava/.../src/main/java/rx/plugins/RxJavaPlugins.java,157 
58ebd1b7f,/RxJava/.../main/java/rx/operators/OperationTakeLast.java,34 
7e1e01e1b,/RxJava/language-adaptors/rxjava-clojure/build.gradle,10 
7e1e01e1b,/RxJava/.../src/test/clojure/rx/lang/clojure/observable_tests.clj,4 
7e1e01e1b,/RxJava/language-adaptors/rxjava-groovy/build.gradle,10 
7e1e01e1b,/RxJava/language-adaptors/rxjava-jruby/build.gradle,9 
7e1e01e1b,/RxJava/language-adaptors/rxjava-scala/build.gradle,9 
7e1e01e1b,/RxJava/rxjava-core/build.gradle,9 
7e1e01e1b,/RxJava/rxjava-core/src/main/java/rx/util/functions/Functions.java,3 
4f8778eac,/RxJava/rxjava-core/src/main/java/rx/Observable.java,21 
4f8778eac,/RxJava/.../src/main/java/rx/operators/OperationNext.java,346 
