commit_hash;modified;file_modified;CBO;WMC;DIT;NOC;RFC;LCOM;LOC;Type1;Type2;Type3;Type4;Type5;Type
6b036e806;34;1;5.14;4.23;1.25;0.08;5.96;3.69;2839;1;0;0;0;0;Type1
8425eff1d;73;1;5.12;4.17;1.25;0.08;5.91;3.73;2791;1;0;0;0;0;Type1
813988b67;64;3;5.18;4.1;1.25;0.08;5.92;3.79;2772;1;0;0;0;0;Type1
109572d78;169;4;5.16;4.29;1.25;0.08;5.97;3.75;2862;1;0;0;0;0;Type1
dccbc6baa;76;1;5.16;4.29;1.25;0.08;5.97;3.75;2862;1;0;0;0;0;Type1
622b66125;134;2;5.21;4.19;1.25;0.08;5.93;3.91;2832;1;0;0;0;0;Type1
9a94fd278;23;1;5.2;3.94;1.28;0.08;5.35;3.63;2692;1;0;0;0;0;Type1
1f7d6dccd;2;1;5.23;3.96;1.26;0.08;5.43;3.64;2676;1;0;0;0;0;Type1
28dd5fcdb;87;3;5.2;3.94;1.28;0.08;5.35;3.63;2692;1;0;0;0;0;Type1
06f5d836a;205;6;5.36;4.03;1.22;0.07;5.54;3.79;2899;0;1;0;0;0;Type2
1da668a86;468;5;5.73;4.27;1.26;0.07;6.13;4;3283;0;0;1;0;0;Type3
84309b657;983;54;5.45;4.5;1.19;0.08;6.23;3.81;3157;0;0;0;0;1;Type5
9ee0fdcd0;8;1;5.57;4.28;1.27;0.07;5.9;3.98;3056;1;0;0;0;0;Type1
0bd83a9bb;993;57;5.57;4.28;1.27;0.07;5.9;3.98;3056;0;0;0;0;1;Type5
bdf075e87;385;45;5.57;4.28;1.27;0.07;5.9;3.98;3056;0;1;0;0;0;Type2
aa8c7c3c1;9;1;5.45;4.48;1.19;0.08;6.19;3.86;3140;1;0;0;0;0;Type1
0f92fdd8e;41;1;5.44;4.51;1.2;0.09;6.17;3.74;3194;1;0;0;0;0;Type1
446acf5cd;91;4;5.58;4.44;1.19;0.09;6.31;3.81;3391;1;0;0;0;0;Type1
95ce9aaae;54;1;5.61;4.49;1.19;0.09;6.39;3.77;3421;1;0;0;0;0;Type1
3c244fbc0;54;1;5.61;4.49;1.19;0.09;6.39;3.77;3421;1;0;0;0;0;Type1
d012a528e;963;58;5.57;4.28;1.27;0.07;5.9;3.98;3056;0;0;0;0;1;Type5
dd94e7b6a;667;64;5.56;4.4;1.21;0.09;6.23;3.59;3413;0;0;0;1;0;Type4
d764c1b09;226;10;5.59;4.46;1.2;0.1;6.22;3.74;3330;0;1;0;0;0;Type2
26a8642a7;28;3;5.59;4.46;1.2;0.1;6.22;3.74;3330;1;0;0;0;0;Type1
1cac6fc58;8;1;5.59;4.48;1.2;0.1;6.24;3.74;3338;1;0;0;0;0;Type1
ffbf2ff18;52;1;5.61;3.78;1.19;0.08;5.19;3.11;3430;1;0;0;0;0;Type1
f4c83f432;598;25;5.64;3.77;1.17;0.08;5.23;3.13;3401;0;0;0;1;0;Type4
53fb292f3;346;12;5.54;4.44;1.2;0.09;6.28;3.64;3439;0;1;0;0;0;Type2
26f8e8350;101;5;5.65;3.9;1.17;0.08;5.35;3.52;3487;1;0;0;0;0;Type1
afc4da1aa;6;1;5.61;3.94;1.17;0.09;5.31;3.59;3529;1;0;0;0;0;Type1
6b25b2304;126;1;5.62;3.88;1.16;0.09;5.35;3.73;3569;1;0;0;0;0;Type1
8b3862e67;790;15;5.49;3.94;1.17;0.08;5.42;4.25;3675;0;0;0;1;0;Type4
68d40628a;180;5;5.65;4;1.16;0.08;5.47;4.35;3638;1;0;0;0;0;Type1
940c26eb6;109;5;5.51;3.98;1.16;0.08;5.35;4.32;3626;1;0;0;0;0;Type1
9f990cacf;4;1;5.51;3.98;1.16;0.08;5.35;4.32;3626;1;0;0;0;0;Type1
271eda44a;4;1;5.51;3.98;1.16;0.08;5.36;4.32;3627;1;0;0;0;0;Type1
ea73bd1f5;130;8;5.51;3.98;1.16;0.08;5.35;4.32;3626;1;0;0;0;0;Type1
e68f0b20a;3;1;5.47;4.03;1.17;0.08;5.38;4.1;3655;1;0;0;0;0;Type1
352e7fa5b;83;2;5.47;4.2;1.18;0.08;5.45;4.07;3767;1;0;0;0;0;Type1
fb47ac807;49;3;5.46;4.03;1.19;0.08;5.36;4.15;3636;1;0;0;0;0;Type1
7298e763b;61;2;5.48;4.03;1.17;0.08;5.39;4.17;3618;1;0;0;0;0;Type1
59ded837d;208;3;5.46;4.03;1.19;0.08;5.36;4.15;3636;0;1;0;0;0;Type2
8525f6f43;15;3;5.48;3.92;1.19;0.08;5.32;4.17;3512;1;0;0;0;0;Type1
9791c2d1e;15;3;5.46;3.92;1.19;0.08;5.32;4.17;3512;1;0;0;0;0;Type1
3e26fa32b;8;2;5.46;3.92;1.19;0.08;5.32;4.17;3512;1;0;0;0;0;Type1
19a9d33b0;94;1;5.46;3.99;1.2;0.08;5.34;4.16;3573;1;0;0;0;0;Type1
6896110c5;312;1;5.54;4.15;1.19;0.08;5.38;4.88;3679;0;1;0;0;0;Type2
e79790556;799;31;5.48;4.01;1.21;0.08;5.33;4.22;3583;0;0;0;0;1;Type5
073418f72;70;2;5.47;4.81;1.22;0.1;6.47;5.67;3597;1;0;0;0;0;Type1
6fe11aa16;89;2;5.49;4.82;1.22;0.1;6.38;5.51;3647;1;0;0;0;0;Type1
f6af2dc15;364;41;5.49;4.76;1.23;0.09;6.43;5.68;3762;0;1;0;0;0;Type2
8fa3a3742;491;40;5.51;4.85;1.22;0.1;6.26;5.62;3578;0;0;1;0;0;Type3
5d7d73c31;326;3;5.41;4.9;1.24;0.09;6.46;5.63;3870;0;1;0;0;0;Type2
2a08d800b;41;3;5.41;4.74;1.22;0.09;6.4;5.64;3760;1;0;0;0;0;Type1
2d11791c6;861;21;5.31;4.78;1.26;0.09;5.87;4.1;3789;0;0;0;0;1;Type5
ea2249afe;432;17;5.41;4.72;1.23;0.09;6.37;5.65;3768;0;0;1;0;0;Type3
6eeb24901;362;16;5.41;4.74;1.22;0.09;6.4;5.64;3760;0;1;0;0;0;Type2
459da07f1;17;1;5.29;4.75;1.27;0.12;5.84;4.05;3846;1;0;0;0;0;Type1
7058a7674;50;1;5.29;4.75;1.27;0.12;5.84;4.05;3846;1;0;0;0;0;Type1
09c3b6249;239;13;5.32;4.77;1.27;0.12;5.94;4.09;3869;0;1;0;0;0;Type2
5dbb81fbd;113;5;5.27;4.74;1.27;0.12;5.81;4.05;3857;1;0;0;0;0;Type1
d3f83facd;230;11;5.29;4.75;1.27;0.12;5.84;4.05;3846;0;1;0;0;0;Type2
84c72a517;2;1;5.84;5.48;1.29;0.17;6.88;4.21;4579;1;0;0;0;0;Type1
a2701658d;2;1;5.84;5.48;1.29;0.17;6.88;4.21;4579;1;0;0;0;0;Type1
bf29c6110;99;2;5.89;5.51;1.28;0.16;6.95;4.2;4534;1;0;0;0;0;Type1
b86e1da5d;16;1;5.7;6;1.32;0.18;6.86;4.67;4982;1;0;0;0;0;Type1
b44e8ad04;12;2;5.7;6;1.32;0.18;6.86;4.67;4983;1;0;0;0;0;Type1
3a0d891f1;3;1;5.7;6;1.32;0.18;6.86;4.67;4983;1;0;0;0;0;Type1
31ee3c346;10;1;5.7;6;1.32;0.18;6.86;4.67;4981;1;0;0;0;0;Type1
3eae70842;74;1;5.7;6;1.32;0.18;6.86;4.67;4983;1;0;0;0;0;Type1
eea2afa29;74;1;5.7;6.01;1.32;0.18;6.88;4.59;4983;1;0;0;0;0;Type1
981ff6add;138;5;5.7;6;1.32;0.18;6.88;4.57;4977;1;0;0;0;0;Type1
88fcda319;78;5;5.7;6;1.32;0.18;6.86;4.67;4984;1;0;0;0;0;Type1
3e7b1f576;440;14;5.7;6;1.32;0.18;6.86;4.67;4984;0;0;1;0;0;Type3
f8d90bd50;51;3;5.69;5.99;1.32;0.18;6.86;4.63;4980;1;0;0;0;0;Type1
bf5f1cb7a;39;2;5.7;6;1.32;0.18;6.86;4.67;4984;1;0;0;0;0;Type1
53b46595d;22;2;5.7;6;1.32;0.18;6.86;4.67;4984;1;0;0;0;0;Type1
d429110e6;25;2;5.67;5.98;1.33;0.18;6.84;4.52;4986;1;0;0;0;0;Type1
22a56d02a;216;4;5.77;5.85;1.31;0.17;6.97;4.24;5000;0;1;0;0;0;Type2
11374c265;16;2;5.7;6.1;1.31;0.17;6.96;4.5;5039;1;0;0;0;0;Type1
089794cb4;16;2;5.7;6.1;1.31;0.17;6.96;4.5;5039;1;0;0;0;0;Type1
334de61dd;16;2;5.69;5.9;1.31;0.17;6.88;4.27;4914;1;0;0;0;0;Type1
a2a7a29cd;16;2;5.7;6.1;1.31;0.17;6.96;4.5;5039;1;0;0;0;0;Type1
b338afa0f;18;2;5.78;5.86;1.31;0.17;6.98;4.28;5006;1;0;0;0;0;Type1
82bc2def6;77;7;5.78;5.86;1.31;0.17;6.98;4.28;5006;1;0;0;0;0;Type1
79535dc56;54;9;5.75;5.99;1.3;0.17;7.02;4.4;5110;1;0;0;0;0;Type1
5c0a95592;14;5;4.32;5.23;1.29;0.16;6.11;3.33;3090;1;0;0;0;0;Type1
0920f23b2;33;7;4.29;5.39;1.29;0.16;6.18;3.28;3153;1;0;0;0;0;Type1
5ac444887;4;4;4.32;5.23;1.29;0.16;6.11;3.33;3089;1;0;0;0;0;Type1
24c535e85;6;1;4.38;5.17;1.28;0.16;6.17;3.25;2993;1;0;0;0;0;Type1
03295a2b2;42;1;4.38;5.17;1.28;0.16;6.17;3.25;2993;1;0;0;0;0;Type1
012bd0d25;4;2;4.41;5.21;1.28;0.16;6.23;3.3;2987;1;0;0;0;0;Type1
37afd534b;155;24;4.41;5.21;1.28;0.16;6.23;3.3;2987;1;0;0;0;0;Type1
24dcc2a47;155;24;4.41;5.21;1.28;0.16;6.23;3.3;2987;1;0;0;0;0;Type1
9d07b367b;155;24;4.41;5.21;1.28;0.16;6.23;3.3;2987;1;0;0;0;0;Type1
04c06988a;2;1;4.4;5.23;1.27;0.16;6.24;3.31;2976;1;0;0;0;0;Type1
57156e364;24;1;4.4;5.23;1.27;0.16;6.24;3.31;2976;1;0;0;0;0;Type1
87ea43197;4;1;4.41;5.28;1.27;0.16;6.32;3.31;2987;1;0;0;0;0;Type1
54d422429;24;1;4.4;5.23;1.27;0.16;6.24;3.31;2976;1;0;0;0;0;Type1
332b67c89;24;1;4.41;5.28;1.27;0.16;6.32;3.31;2987;1;0;0;0;0;Type1
5620449a6;42;2;4.4;5.23;1.27;0.16;6.24;3.31;2976;1;0;0;0;0;Type1
aeea97892;24;1;4.41;5.28;1.27;0.16;6.32;3.31;2987;1;0;0;0;0;Type1
7337bb8f4;42;2;4.4;5.23;1.27;0.16;6.24;3.31;2976;1;0;0;0;0;Type1
35f280735;18;2;4.41;5.3;1.27;0.16;6.37;3.34;2997;1;0;0;0;0;Type1
31281b60e;18;2;4.41;5.3;1.27;0.16;6.37;3.34;2997;1;0;0;0;0;Type1
a82eff91b;18;2;4.41;5.28;1.27;0.16;6.32;3.31;2987;1;0;0;0;0;Type1
e39599cc4;5;1;4.41;5.3;1.27;0.16;6.37;3.34;2997;1;0;0;0;0;Type1
553241286;18;2;4.44;5.38;1.26;0.16;6.49;3.4;2987;1;0;0;0;0;Type1
8741a21b8;81;5;4.41;5.28;1.27;0.16;6.32;3.31;2987;1;0;0;0;0;Type1
224cafb25;2;1;4.41;5.31;1.27;0.16;6.37;3.34;3000;1;0;0;0;0;Type1
939a3b101;22;4;4.41;5.28;1.27;0.16;6.32;3.31;2987;1;0;0;0;0;Type1
74e54add5;2;1;4.41;5.3;1.27;0.18;6.37;3.34;2997;1;0;0;0;0;Type1
b73a2028b;19;1;4.42;5.32;1.27;0.16;6.4;3.35;3011;1;0;0;0;0;Type1
e8fa3a5d8;24;5;4.41;5.31;1.27;0.16;6.37;3.34;2998;1;0;0;0;0;Type1
46345351a;9;1;4.44;5.4;1.26;0.16;6.49;3.4;2993;1;0;0;0;0;Type1
9544c6aa6;19;1;4.42;5.32;1.27;0.16;6.4;3.35;3011;1;0;0;0;0;Type1
51113b7ca;81;6;4.41;5.31;1.27;0.16;6.37;3.34;2998;1;0;0;0;0;Type1
9fa580c29;167;5;4.43;5.4;1.26;0.16;6.49;3.4;2993;1;0;0;0;0;Type1
308255868;19;1;4.41;5.39;1.26;0.12;6.42;3.42;2975;1;0;0;0;0;Type1
5348ebf33;14;1;4.4;5.35;1.26;0.12;6.39;3.41;2950;1;0;0;0;0;Type1
aa451ef11;43;4;4.41;5.39;1.26;0.12;6.42;3.42;2975;1;0;0;0;0;Type1
e0e630e05;225;9;4.43;5.4;1.26;0.16;6.49;3.4;2993;0;1;0;0;0;Type2
204309452;13;2;4.39;5.53;1.25;0.12;6.4;3.58;3036;1;0;0;0;0;Type1
d747d5259;14;3;4.39;5.53;1.25;0.12;6.4;3.58;3036;1;0;0;0;0;Type1
68a356ed4;103;19;4.39;5.6;1.25;0.12;6.44;3.58;3081;1;0;0;0;0;Type1
d51763dda;23;1;4.42;5.64;1.25;0.14;6.5;3.58;3097;1;0;0;0;0;Type1
31339a26e;23;1;4.42;5.65;1.25;0.14;6.5;3.6;3108;1;0;0;0;0;Type1
6fcdc7eb2;8;2;4.42;5.65;1.25;0.14;6.5;3.6;3108;1;0;0;0;0;Type1
bfad7ea96;16;4;4.42;5.65;1.25;0.14;6.5;3.6;3108;1;0;0;0;0;Type1
01ceedce3;33;1;4.43;5.64;1.25;0.14;6.49;3.6;3105;1;0;0;0;0;Type1
729e90e92;33;1;4.43;5.64;1.25;0.14;6.47;3.6;3084;1;0;0;0;0;Type1
f6ca9ee01;172;1;4.43;5.64;1.25;0.14;6.49;3.6;3105;1;0;0;0;0;Type1
491e615d4;606;4;4.4;5.67;1.23;0.14;6.51;3.61;3093;0;0;0;1;0;Type4
da6ef5144;69;1;4.51;6.09;1.27;0.14;6.79;6.51;3513;1;0;0;0;0;Type1
69d6aaf61;58;1;4.51;6.05;1.27;0.14;6.75;6.38;3473;1;0;0;0;0;Type1
7071fc0a8;108;2;4.49;6.12;1.25;0.14;6.81;6.55;3501;1;0;0;0;0;Type1
b0c8b42b2;52;3;4.61;6.74;1.49;0.13;7.06;6.65;3994;1;0;0;0;0;Type1
0cf708256;96;1;4.62;6.74;1.49;0.13;7;6.58;3924;1;0;0;0;0;Type1
9fa9cea2a;7;1;4.62;6.75;1.49;0.13;7.02;6.57;3925;1;0;0;0;0;Type1
03336a980;34;1;4.61;6.73;1.49;0.13;6.99;6.61;3944;1;0;0;0;0;Type1
b3c611c39;67;2;4.5;6.86;1.5;0.15;6.9;6.71;3916;1;0;0;0;0;Type1
8d1cecc95;179;3;4.55;6.75;1.48;0.15;6.79;6.72;3963;1;0;0;0;0;Type1
1e2a7252b;6;1;4.62;6.72;1.49;0.13;6.83;6.67;3906;1;0;0;0;0;Type1
07eefcd00;20;1;4.63;6.72;1.49;0.13;6.83;6.67;3906;1;0;0;0;0;Type1
54bb58811;143;4;4.56;6.76;1.49;0.15;6.82;6.75;3937;1;0;0;0;0;Type1
6e8651e24;156;4;4.55;6.86;1.48;0.15;6.87;7.21;4024;1;0;0;0;0;Type1
620981ad1;6;2;4.56;6.76;1.49;0.15;6.82;6.75;3937;1;0;0;0;0;Type1
12266f392;46;1;3.95;14.27;1.45;0.09;5.78;23.45;3426;1;0;0;0;0;Type1
5328eaf10;29;2;4.01;13.88;1.43;0.09;5.81;22.78;3513;1;0;0;0;0;Type1
3061b7c8f;57;1;3.99;12.65;1.42;0.09;5.26;21.41;3287;1;0;0;0;0;Type1
fdcd4b249;2;1;4;13.32;1.42;0.09;5.48;26.1;3456;1;0;0;0;0;Type1
94c972a47;242;5;3.82;12.13;1.38;0.07;6.18;24.27;3970;0;1;0;0;0;Type2
2bbd3dc4b;15;2;3.85;12.76;1.41;0.08;5.95;25.65;3890;1;0;0;0;0;Type1
e3ca9e519;15;1;3.85;13.24;1.43;0.08;5.45;26.53;3669;1;0;0;0;0;Type1
4ecae622d;318;4;3.98;11.51;1.38;0.07;6.77;22.81;4224;0;1;0;0;0;Type2
df1be3ebf;2;1;4.05;11.31;1.36;0.06;7.73;22.93;4563;1;0;0;0;0;Type1
5107dd340;12;1;3.98;11.29;1.37;0.06;7.1;22.15;4323;1;0;0;0;0;Type1
02044cd4e;123;1;4.03;11.01;1.34;0.06;7.86;22.67;4772;1;0;0;0;0;Type1
b6ea9eba5;81;10;4;11.05;1.35;0.06;7.75;22.68;4701;1;0;0;0;0;Type1
6309bbc26;552;4;4.16;10.6;1.32;0.05;8.29;21.57;5262;0;0;1;0;0;Type3
a5d55dc4e;1;1;4.04;10.79;1.34;0.06;7.91;22.07;4946;1;0;0;0;0;Type1
7d09e458b;16;2;4.04;10.79;1.34;0.06;7.9;22.07;4942;1;0;0;0;0;Type1
5ebbd9ab2;5;1;4.03;10.77;1.34;0.06;7.9;22.07;4928;1;0;0;0;0;Type1
4e19e15ff;84;1;4.33;10.34;1.31;0.05;8.72;21.03;5586;1;0;0;0;0;Type1
3371e35e5;68;1;4.29;10.41;1.31;0.05;8.67;21.22;5546;1;0;0;0;0;Type1
1ff742a40;457;3;4.25;10.48;1.32;0.05;8.63;21.4;5517;0;0;1;0;0;Type3
99359a790;192;9;4.23;9.98;1.41;0.05;8.84;21.86;6282;1;0;0;0;0;Type1
6cb1ab682;394;9;4.28;10.17;1.43;0.05;8.85;22.55;6157;0;1;0;0;0;Type2
6f12f6fae;99;1;4.87;9.75;1.31;0.04;10.22;18.42;10289;1;0;0;0;0;Type1
71b544f5d;20;7;4.59;7.63;1.44;0.04;7.23;12.59;7797;1;0;0;0;0;Type1
ef1cae879;20;4;4.59;7.68;1.48;0.04;7.22;12.52;7904;1;0;0;0;0;Type1
e9fad2483;648;37;4.59;7.63;1.48;0.04;7.23;12.59;7797;0;0;0;1;0;Type4
68f85bf4b;151;30;4.6;7.98;1.49;0.04;7.23;16.18;8269;1;0;0;0;0;Type1
868dc0fed;101;2;4.63;8.24;1.51;0.05;7.15;19.18;8660;1;0;0;0;0;Type1
7a5320f85;319;4;4.6;8.17;1.54;0.05;7.04;18.76;8801;0;1;0;0;0;Type2
fca5a8e15;27;2;4.62;8.34;1.56;0.05;6.99;19.75;8996;1;0;0;0;0;Type1
ed9a2c4b9;76;11;4.64;7.75;1.52;0.05;7.08;10.59;8944;1;0;0;0;0;Type1
0e0edb572;48;2;4.66;7.45;1.5;0.05;6.83;10.19;8996;1;0;0;0;0;Type1
f7d780956;4;2;4.61;7.41;1.54;0.05;6.75;10.05;9039;1;0;0;0;0;Type1
5273cf05e;101;3;4.61;7.41;1.54;0.05;6.75;10.05;9039;1;0;0;0;0;Type1
5ae547835;139;9;4.65;7.42;1.5;0.05;6.77;10.13;9018;1;0;0;0;0;Type1
7f07f4652;36;5;4.64;7.36;1.5;0.05;6.72;10.04;9016;1;0;0;0;0;Type1
ec4eb4f3b;933;52;6.55;11.92;1.5;0.18;9.7;777.81;14079;0;0;0;0;1;Type5
e8ff93464;4;1;6.46;11.92;1.49;0.18;9.62;820.39;14351;1;0;0;0;0;Type1
6a6a3022b;5;1;6.51;12.28;1.49;0.18;9.71;825.3;14666;1;0;0;0;0;Type1
ae8e4d4f0;7;2;6.47;11.95;1.5;0.18;9.62;823.5;14300;1;0;0;0;0;Type1
7e0f6d88f;237;21;6.55;12.13;1.49;0.18;9.8;757.55;14634;0;1;0;0;0;Type2
6dbeff4b5;626;33;6.55;12.13;1.49;0.18;9.8;757.55;14634;0;0;0;1;0;Type4
25e78c553;744;23;6.49;11.8;1.47;0.17;9.96;728.33;14775;0;0;0;1;0;Type4
a85657232;530;8;6.45;11.78;1.48;0.17;9.93;715.64;14926;0;0;1;0;0;Type3
b8a3320cb;532;15;6.31;11.38;1.49;0.16;9.59;668.72;15426;0;0;1;0;0;Type3
b15df9899;964;32;6.49;11.33;1.49;0.15;9.58;649.86;15858;0;0;0;0;1;Type5
1145819b6;324;14;6.53;11.36;1.49;0.16;9.83;622.73;17177;0;1;0;0;0;Type2
0b038babb;2;1;6.51;11.38;1.48;0.15;9.81;634.01;16868;1;0;0;0;0;Type1
db8b73317;308;3;6.55;11.39;1.49;0.16;9.84;623.95;17239;0;1;0;0;0;Type2
4f878d569;500;8;6.53;11.36;1.49;0.16;9.83;622.73;17171;0;0;1;0;0;Type3
9966209d7;191;4;6.55;11.38;1.48;0.16;9.83;620.3;17298;1;0;0;0;0;Type1
133037357;212;6;6.55;11.38;1.48;0.16;9.83;620.3;17297;0;1;0;0;0;Type2
1ebd97900;44;1;6.58;12.13;1.47;0.16;10.15;612.4;18696;1;0;0;0;0;Type1
8e9c935d5;627;17;6.4;10.39;1.72;0.13;9.2;516.96;19096;0;0;0;1;0;Type4
994d8fcb9;39;4;6.41;10.5;1.71;0.13;9.32;517.15;19275;1;0;0;0;0;Type1
5d7f54935;914;29;6.41;10.51;1.71;0.13;9.32;517.15;19275;0;0;0;0;1;Type5
603f6c690;309;4;6.47;10.6;1.71;0.14;9.48;520.43;19382;0;1;0;0;0;Type2
ffe49c3f0;441;15;6.46;10.53;1.71;0.14;9.41;510.55;19335;0;0;1;0;0;Type3
73dde07fa;267;2;6.51;10.63;1.71;0.14;9.49;517.37;19476;0;1;0;0;0;Type2
23a77e8ce;170;7;6.56;10.67;1.7;0.13;9.5;511.06;19875;1;0;0;0;0;Type1
df94c0d23;689;11;6.56;10.7;1.7;0.13;9.55;511.27;19912;0;0;0;1;0;Type4
88ff1f638;107;10;6.58;10.7;1.7;0.14;9.51;523.32;19920;1;0;0;0;0;Type1
4562e69de;45;5;6.57;10.72;1.7;0.14;9.51;523.32;19955;1;0;0;0;0;Type1
e71d371f2;1;1;6.53;10.62;1.69;0.14;9.38;519.81;19824;1;0;0;0;0;Type1
63a59319b;24;3;6.53;10.62;1.69;0.14;9.38;519.81;19824;1;0;0;0;0;Type1
