59e5e1a457;Dusan Balek;04/08/2017;Issue #271045 - IllegalArgumentException: (org.clank.support.aliases.type$iterator,org.clank.support.aliases.type$iterator,org.clank.java.std.Compare)void - fixed.;1;1;1
b084f91bf2;Dusan Balek;04/08/2017;Issue #271206 - NullPointerException at org.netbeans.modules.java.completion.JavaCompletionTask.addLocalMembersAndVars - fixed.;1;2;2
741274cc4a;Junichi Yamamoto;08/08/2017;#271040 - Twig syntax error with {% endset %};2;134;0
e19e951554;Dusan Balek;11/08/2017;Issue #270686 - ClassCastException: org.netbeans.modules.debugger.jpda.ui.WatchPanel$MyTrees cannot be cast to com.sun.source.util.DocTrees - fixed.;1;2;1
13be3be2cf;Dusan Balek;11/08/2017;Issue #271002 - NullPointerException at org.netbeans.modules.java.source.pretty.WidthEstimator.widthQ - fixed.;1;3;0
3fe8289c80;Svata Dedic;11/08/2017;#270797: fixed checking duplicate names. Improved checking for shadowed symbols;6;82;16
e49948f65e;Dusan Balek;18/08/2017;Issue #271275 - NullPointerException at com.sun.source.util.TreePath.<init> - fixed.;1;1;1
53ee08901f;Dusan Balek;25/08/2017;Issue #270304 - Performing Format action (Alt+Shift+F) on module-info.java adds empty line - fixed.;1;4;3
024be525bb;Dusan Balek;25/08/2017;Issue #271343 - Incorrect brace position for module-info.java - fixed.;1;38;33
ec66fe77df;Svata Dedic;28/08/2017;Bugfix #269210: module directive optionally added when importing class. Merged in changes to ComputeImports from other commits.;3;230;22
c0eb422757;Tomas Hurka;31/08/2017;bugfix #271412, make sure that getReachables() do not return null-s and duplicates;1;18;3
055e2868c2;Tomas Hurka;31/08/2017;InstancesIterator fixed to return only non-null Instances. (getInstanceByOffset() can return null in case of broken heap dump);1;9;2
d193b1b069;Dusan Balek;01/09/2017;Issue #270934 - formatting if clause with single code line and commentary breaks code - fixed.;2;83;10
c85a0a59f3;Tomas Hurka;01/09/2017;bugfix #271451 - Upgrade JNA library to version 4.4.0;3;3;3
fb9183e75c;Svata Dedic;01/09/2017;#271367: restricted acceptable types some more;2;7;3
bd42eda56c;Svata Dedic;01/09/2017;#271408: workaround - getPath() does not find paths for locals, resource/exception vars;2;113;28
f7c4fc518b;Svata Dedic;01/09/2017;Fixed completion with tag name and no attributes;1;23;7
be86ed7593;Tomas Hurka;07/09/2017;bugfix #271444, use org.openide.util.Enumerations instead of obsolete com.sun.tools.hat.internal.util.CompositeEnumeration;1;5;0
